subject,comment,contributor,Date
"FDA Survey Data on Perchlorate in Food, 2005-2006","According to the U.S. FDA, ""Perchlorate is a naturally occurring and...",Watchmen,2/21/2008 0:00
"FDA Survey Data on Perchlorate in Food, 2005-2006","Nice visual. What goes into the definition of ""average"" here? Does...",,3/10/2008 0:00
"FDA Survey Data on Perchlorate in Food, 2005-2006",Food samples are collected from different regions of the United States...,Watchmen,5/9/2008 0:00
FDIC Institutions by Asset,Citizens is part of the Royal Bank of Scotland? Who knew?...,Lydia,1/23/2007 0:00
Federal Assistance Spending by State FY 2000 - 2006,i wish they would also list the population of the state...,,5/12/2008 0:00
Federal Assistance Spending by State FY 2000 - 2006,be interesting to see the amount of taxes spent by that...,,6/17/2008 0:00
Federal Budget Flow 79-05,just testing comment posting....,Anonymous,1/30/2007 0:00
Federal Budget Flow 79-05,"just another test on comment postings, as anonymous....",Anonymous,1/31/2007 0:00
Federal Contract Awards by Major Agency (2000 - 2005),Very telling. lol.,DrDutch,1/25/2007 0:00
Federal Contract Awards time series,"The department of energy is dropping noticeably, at least in relative...",Jesse,1/24/2007 0:00
Federal Debt at the end of the year (% of GDP),This shows debt relative to the wealth of the country. A...,iamcurious,5/28/2008 0:00
Federal Debt at the end of the year (millions of $),"See also this same chart as % of GDP, to...",iamcurious,5/28/2008 0:00
Federal Debt at the end of the year (millions of $),Shouldn't the K be an M? We're talking about trillions of...,,5/30/2008 0:00
Federal Debt at the end of the year (millions of $),You are right that the numbers represent trillions (so top line...,iamcurious,6/2/2008 0:00
Federal Earmarks Per Capita,Any questions?,,10/12/2008 0:00
Federal Earmarks Per Capita,Just wanted to say that I like these bubbles as a...,Michael Alperovich,10/21/2008 0:00
Federal Earmarks Per Capita,"Why is it that Florida and New York, those bastions of...",,10/29/2008 0:00
Federal Earmarks Per Capita,This would be even more interesting if you could set it...,,10/29/2008 0:00
Federal Government Tax Receipts and Outlays 1940-2007 in FY 2000 Dollars,This chart shows the increase in Federal Government tax reciepts after...,cgreen,8/27/2007 0:00
Federal Outlays 1962-2009 (2009 $M),A comment.,DJB,2/16/2009 0:00
Federal Outlays 1962-2009 (2009 $M),"Very nice tool! What was the ""general purpose fiscal assistance""...",,2/16/2009 0:00
"Federal Reserve Board: Monetary Policy Report Submitted to the Congress, 2/27/08",Here's what the Federal Reserve is saying recently about mortgages.,Susanne,5/7/2008 0:00
Federally Owned Building Area On US Map,How many buildings are there total?,,7/28/2009 0:00
fefe,,,10/3/2008 0:00
Female lawyers worth less than male engineers with bachelor's degrees,The biggest different between male/female pay consists of folks with advanced...,Fernanda B. Viegas,2/5/2007 0:00
Fertility rates from 1970 to 2004,Can this be right?,Eric Gilbert,6/15/2007 0:00
Fertility rates from 1970 to 2004,"Wow, look at Ireland's declining birth rate.",Eric Gilbert,6/15/2007 0:00
Fertility rates from 1970 to 2004,"yes, the American fertility rates are up again. You'll see a...",OECD,6/15/2007 0:00
Fianna Fail Party Manifesto 2007,"Slick visualisations, very topical! Are u interested in network visualisation?...",conr,5/25/2007 0:00
fictional uk unemployment figures,***this is only an example for testing purposes. data not actual***...,BethL,7/29/2009 0:00
Fidel Castro speech,Looks like he had a lot to say on the US......,Frank van Ham,3/7/2007 0:00
Fidel Castro speech,"""aplausos"" (applause) is one of the most recurrent terms here...",Fernanda B. Viegas,3/7/2007 0:00
Fidelity Mutual Funds / Net Assets in $MM,It would be nice to see these sorted by fund type...,,12/21/2007 0:00
Fidelity Mutual Funds / Net Assets in $MM,I agree in regards to the sorting by fund type -...,a390050,12/28/2007 0:00
Fights Visual 5,kevin mchale,,2/16/2010 0:00
Fights Visual 5,SNAP 1,,2/16/2010 0:00
Fights Visual 5,SNAP 2,,2/16/2010 0:00
Film Noir Movie Titles,It would be a fun game to try to deduce the...,Martin Wattenberg,7/10/2007 0:00
Final Stimulus Bill Funding Treemap,One of the best visuals I have ever seen. Absolutely...,,6/1/2009 0:00
finance managers,I like this view. Are there really that many nurses?,Anonymous,1/25/2007 0:00
finance managers,Medicine and high wages seem highly correlated,Glockster,11/15/2008 0:00
Firefox marketshare in BR,The above data refers to visitors from 1 week ( #...,taboca,4/23/2007 0:00
Firewall Denies,The source and destination IP addresses have been anonymized to protect...,farscapian,2/16/2010 0:00
First letters of first names,Quinn and Quintin are still some of my favorite names.,Lee Byron,8/10/2007 0:00
First letters of first names,"Surprising that the most popular initial ""A"" is the same for...",grjenkin,8/11/2007 0:00
First Name's Initial Distribution A-Z,This would be great if the Sex column was text instead...,,8/4/2007 0:00
First Names of US Presidential Candidates - and how they fared,Here the first name of presedential (and vp) candidates are presented...,ChrisTV,1/2/2008 0:00
"First presidential debate, word tree",Wall Street vs. Main Street.,Martin Wattenberg,9/29/2008 0:00
"First presidential debate, word tree",How many billions?,Martin Wattenberg,9/29/2008 0:00
"First presidential debate, word tree",Iraq.,Martin Wattenberg,9/29/2008 0:00
"First sentences, GOP debate","The view above misses Maria Bartiromo, of course. Type ""ms"" to...",Martin Wattenberg,10/9/2007 0:00
"First sentences, GOP debate",This view shows the applause lines.,Martin Wattenberg,10/9/2007 0:00
"First sentences, GOP debate",And here are the laugh lines.,Martin Wattenberg,10/9/2007 0:00
First Solar 4Q07 Conference Call,"unless I'm missing something, i'd say it's incomplete but a good...",,2/15/2008 0:00
First Solar 4Q07 Conference Call,"NO NO NO Very bad technology, kiss == keep it...",,2/17/2008 0:00
First Solar 4Q07 Conference Call,Useful if I could then get to the point in the...,,4/7/2008 0:00
First Visualization,0.2,Freaky_Alien,4/19/2009 0:00
fitness world bball team win %,"barry, jim, and thomas have played 10 games from 4/10/2008 to...",Inappropriate Laughter,6/19/2008 0:00
fitness world trash talking,"Barry, Jim, Rick, and Thomas had the most wins from 4/10/2008...",Inappropriate Laughter,6/19/2008 0:00
fitness world trash talking,Cedric and Lou were the most efficient players. They had high...,Inappropriate Laughter,6/19/2008 0:00
Flawed Data - Temp Over Time and CO2 Levels,Hey! Apparently there is a correlation between Co2 level and temperature......,Frank van Ham,1/26/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,This view shows the correlation between CO2 and temp. That tendril...,Anonymous,1/26/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"Interesting indeed, the collaborative manipulation of data like this is really...",Bruce Skarin,1/29/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"It seems to me that the tendril on the right, composed...",Anonymous,1/29/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,If you look here you'll notice something interesting... As CO2 level...,Anonymous,1/29/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"The problem is, the data just doesn't go back far enough....",,2/9/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"Yes, but- maybe it is all a scare. Maybe this...",,2/9/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"As I look at the data, it is clear that there...",,2/16/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,Plot temperature deviation on the Y-axis and CO2 concentrations on the...,,3/2/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,Couldn't this also show that natural CO2 is a function of...,,3/6/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,For those who still have some doubts about the anthropogenic causes...,,3/6/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"It is clear that CO2 concentration is off the chart, and...",,3/6/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,I am interested in which technique was used to compute the...,,3/26/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,The thing that jumps out at me in this view is...,,4/3/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,Temperature increases cause increases in co2 not the other way around....,,4/25/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,This view is interesting. I see a significant shape difference between...,Lee Byron,6/18/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"Wow, very cool to see that this is still getting so...",Bruce Skarin,7/12/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,Isn't it amazing that whomever posted this did not mention that...,,9/13/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"I apologize for the errors, I tried to explain my imperfect...",Bruce Skarin,9/25/2007 0:00
Flawed Data - Temp Over Time and CO2 Levels,"""Notice how tight the line gets and how the slope goes...",Tom Fiddaman,11/7/2008 0:00
"Focus group on Biotechnology and Food- 2004, Iowa women",The Iowa women hav similar concerns with the Philadelphia women. ...,Bernice,12/8/2007 0:00
"Focus group on Biotechnology and Food- 2004, Iowa women",How do you see that ?,1c0d8c02-ad2f-11dd-84b8-000255111976,2/19/2009 0:00
Focus Group on Biotechnology and Food- Iowa Men,These data are similar to the PHiladelphia men. There is...,Bernice,12/8/2007 0:00
Focus Group Transcript on Health and Biotechnology- Pew,This is a group of women respondents in Philadelphia. They...,Bernice,12/8/2007 0:00
Focus Group Transcript on Health and Biotechnology- Philadelphia Men,The Philadelphia men in the focus group were most concerned with...,Bernice,12/8/2007 0:00
Folclore Brasileiro,How about this view then?,Frank van Ham,11/2/2007 0:00
Foods to Avoid,This is such an interesting way to view their nutritional data!...,Susanne,8/3/2007 0:00
"For a dry state, California uses a lot of fresh water.","These stats should be deflated by population, area, etc... to make...",,7/5/2008 0:00
Forbes Global 2000 (2007) Profits & Market Value ($bil),It'd be cool to see a version of this data that...,Martin Wattenberg,5/31/2007 0:00
Forbes Global 2000 (2007) Profits & Market Value ($bil),"I agree; in fact, by making both color and size reflect...",,6/9/2007 0:00
Forbes Global 2000 (2007) Profits & Market Value ($bil),I retract that; after looking more carefully at your chart I...,,6/9/2007 0:00
Forbes Global 2000 (2007) Profits & Market Value ($bil),Your definition of assets makes the banks all dominate. Why not...,,6/9/2007 0:00
forecast,test comment,jovirox,8/13/2009 0:00
"Foreclosure impact Alameda and Contra Costa, CA","Play. Switch Bubble Size to ""troubled"" to see aggregate number of...",rowboe,9/4/2008 0:00
Foreign PACs give a lot to Republicans,Look at how most of the foreign-connected PACs give to Republicans....,JasonW,2/3/2007 0:00
Foreign PACs give a lot to Republicans,Foreign companies are probably more concerned with getting favors from the...,Anonymous,2/4/2007 0:00
Former Gov. Huckabee Delivers Remarks on Caucus Results in Iowa,"The phrase ""ruling class"" appears twice--perhaps unusual for a Republican.",Martin Wattenberg,1/5/2008 0:00
Former Occupations / 17th Parliament / Canada,"Wow, look how farmers are more consistently voting outside of the...",Lee Byron,7/27/2007 0:00
Former Occupations / 17th Parliament / Canada,It's important to note that the 17th Parliament served from 1930...,Eric Gilbert,7/30/2007 0:00
Former Occupations / 17th Parliament / Canada,whoops... link: Wikipedia on the 17th Parliament,Eric Gilbert,7/30/2007 0:00
Forze nucleari globali,va bene l'ordine di grandezza ma tra 10.000 e 16.000 c'è...,,7/3/2009 0:00
Four Factor Analysis Rankings by Team (Wis vs PSU),Very cool!,eating,1/15/2008 0:00
Fox News and CNN Headlines Tag Cloud Comparison - 12Feb09,Media bias is a fascinating subject of study. Rivals Fox...,CarolB,2/12/2009 0:00
Frances Willard Excerpt,Participants will then be provided with various writings created after the...,,6/2/2009 0:00
"Frankly, my dear (Top movies of all time by Tickets sold)",The visualization model is to show users about top movies of...,Xiaoyong Yang,10/26/2008 0:00
"Frankly, my dear (Top movies of all time by Tickets sold)",1. What is the optimal number of bubbles for a bubble...,Scott Radley,10/28/2008 0:00
frecuency of self search and perception of ease of bein g located,the more one searches online- the more experience they have will...,queenblack,3/20/2008 0:00
Fred Thompson's announcement speech from www.fred08.com,"Fred Thompson Announces his run for the Presidency in 2008, bringing...",cgreen,9/6/2007 0:00
French crops,This is a very cool function Without border...,Gideon,5/15/2008 0:00
Frequency of letters used in English Language,created by Divya Manian http://nimbupani.com/blog/,,7/2/2008 0:00
Frequency of Unique Disease Stories,Only in news,AmitChowdhry,7/30/2008 0:00
Frequency of words monitor on skype-tom China,shame on Skype,,2/19/2009 0:00
Friends & Friends of Friends of 1612203 with Names,seems one can use myspace just with the id rather than...,Jiang,10/1/2007 0:00
From 1997 to 2006: The Evolution of Internet,"The graph highlights the increase of internet usage in Barbados, Romania,...",Ferhan Ture,9/16/2009 0:00
From 1997 to 2006: The Evolution of Internet,Size of the boxes indicate the percentage of internet users in...,Ferhan Ture,9/16/2009 0:00
From 1997 to 2006: The Evolution of Internet,Size of the boxes indicate the percentage of internet users in...,Ferhan Ture,9/16/2009 0:00
from a&j,kinda cool but confusing.You cant mess with this rainbow.j&a,nml-demo3,1/25/2008 0:00
from a&j,"wow, I think this is really great. What's it telling me?...",nml-demo5,1/25/2008 0:00
Fruit test chart,test comment. Checking to see how comment function works.,flotsam,9/5/2008 0:00
fruits and seeds,"banana. orange. peach, then apple",kathyjl,1/9/2009 0:00
fruits and seeds,what happened the week of aug-24?,kathyjl,1/9/2009 0:00
fruits and seeds,seeds sown by week (each week broken down by type of...,kathyjl,1/9/2009 0:00
Fruits Per-Capita Consumption by Year,It looks like the growth has been in the non-traditional fruit...,hawkmc,7/10/2009 0:00
Fuel Consumption by Country of Manufacturer,US Car makers have some catching up to do...,Scott Radley,10/16/2008 0:00
Fuel Consumption of Euro-4 Compliant Models on Sale April 2007,"See, this is precisely why I don't drive a Lamborghini.",Martin Wattenberg,4/30/2007 0:00
Fuel Economy,I believe that the average is a more useful way to...,david.dewar,10/17/2008 0:00
fuel economy scatterplot,Displacement and Number of Cylinders VERSUS City MPG,Anonymous,1/24/2007 0:00
Fuel Economy Treemap,That's my car...,Frank van Ham,1/10/2007 0:00
Fuel Economy Treemap,hybrids!!! we like those.,Fernanda B. Viegas,1/10/2007 0:00
Fuel Economy Treemap,The prius and the civic hybrid duke it out...,Martin Wattenberg,1/10/2007 0:00
Fuel Economy Treemap,And these are my cars.,Martin Wattenberg,1/11/2007 0:00
Fuel Efficiency (Miles per Gallon) vs. Car Manufacturer,nice visualization. wish you had listed the source of your data!...,,11/29/2008 0:00
Fulfilled Old Testament Prophecy,Nice set of figures. How does it compare? http://www.fmh-child.org/GotFaith.html...,,9/22/2008 0:00
Games,Interesting little upswing...,Frank van Ham,3/11/2008 0:00
"Gandhi's ""Quit India"" speech","Its not Ghandi, but 'Gandhi'!",,10/3/2008 0:00
"Gandhi's ""Quit India"" speech",Opps! Typorama!,alexmct,10/3/2008 0:00
Gas Prices & Averga Income by State,i think this is a good idea. karen warren,,12/21/2007 0:00
"Gasoline Supplied (in thousands of barrels, US, regular)",1 barrel = 31 gallons,Tailor,7/9/2008 0:00
"Gasoline Supplied (in thousands of barrels, US, regular)",1 barrel = 31 gallons,Tailor,7/9/2008 0:00
Gautemala babies cutest?,Waht a strong outlier? I wonder why?,,9/22/2009 0:00
GDP and R&D relations,Finland has over 50% more researchers than the U.S.,grjenkin,12/30/2009 0:00
"GDP Growth: PRC, India, Russia, and US",Easier to read as bars?,Charlie Hill,12/19/2007 0:00
Gen. David H. Petraeus before Senate Armed Services Committee (08 April 2008),I can see what jumps out here,Jesse,4/9/2008 0:00
Gender Differences in Internet Use for Social Networking and Entertainment,Many studies suggest that males use the internet more for entertainment...,Sarah Wood,3/19/2008 0:00
Gender Purchasing of Groceries by Occupation and Family Size,Very good example,,8/26/2009 0:00
"Gender Ratio, By Nation, On A Logarithmic Scale",Why does the UAE have so many more men? Is there...,,4/21/2007 0:00
"Gender, Instant Messaging Use, and Cyberbullying","With this data set, I was trying to determine, among girls...",Suzie.Lowe,3/17/2008 0:00
"Gender, Instant Messaging Use, and Cyberbullying",Just playing around with the data,Suzie.Lowe,3/17/2008 0:00
"Gender, Instant Messaging Use, and Cyberbullying","Same question, only looking at those who use the internet.",Suzie.Lowe,3/19/2008 0:00
"Gender, Instant Messaging Use, and Cyberbullying","Same question, only looking at those who use the internet.",Suzie.Lowe,3/19/2008 0:00
Gene / Transcription Factor Networks from ORegAnno,Note: might be zoomed in too far by default when discovered...,Montgomery,3/7/2007 0:00
Gene Expression in the intraerythocytic development cycle of P. falciparum,TP refers to timepoint representing 1 hour during the 48 hour...,sharpshoot,4/15/2007 0:00
Generation Trends in 2010 - Bar Chart,I guess Generation Jones wouldn't fit on your page? Forgotten generation...,,2/11/2009 0:00
Generation Y (Ages 10-32) in 2010,The timeframe 1978-2000 is generally accepted as the years for Generation...,grjenkin,8/23/2007 0:00
Generation Y in 2010 (Ages 10-32),Gen Y (born between 1978-2000) has an estimated population of 76M....,grjenkin,8/19/2007 0:00
Generation Y in 2010 (Ages 10-32),If you click through the years and follow the Gen Y...,grjenkin,11/8/2007 0:00
Genjo Koan Zen Masterpiece by Dogen Zenji (circa 1253),Great to see other people using Many Eyes for cultural works!...,Daniel Latorre,5/27/2009 0:00
Genoicide by Country,Could this be reposted as a percentage of aggregate population?,Daniels2889,4/13/2007 0:00
Genre Distribution among Countries,"Ah, and when you upload a non-test version, please don't forget...",ladamic,9/26/2007 0:00
Genre Distribution among Countries,Thank you for the comment:P I've modified my data set....,Chen Huang,9/26/2007 0:00
geographical distribution,what is this visualizing? what kind of trials?,,7/12/2007 0:00
Geomatics Linkages,Can this link be shared,SIID,4/5/2007 0:00
George Bush wants to know am.,This is excellent,,9/3/2008 0:00
George Carlin's stuff,This view shows whose stuff it is...,Martin Wattenberg,9/26/2007 0:00
"George W. Bush's First Inauguration Speech, 2001",Interesting analysis in that highest ratings of words are generic statesman...,VisGuyCT,11/20/2008 0:00
German baby name popularity,Didn't know that classical names were so popular in Germany...,Frank van Ham,6/22/2007 0:00
German baby name popularity,All female names...,Frank van Ham,6/22/2007 0:00
German baby name popularity,"where are all the other german names?? like ""werner"" and ""juergen""...",,6/22/2007 0:00
German baby name popularity,I think European names in general are becoming remarkably international. (The...,Martin Wattenberg,7/1/2007 0:00
"German Volkswagen, US Army Technical Manual",Original document available at: http://cgsc.leavenworth.army.mil/carl/wwIItms/TME9_803_1944.pdf,CARL Documents,6/23/2008 0:00
Germany employment,East germany,Frank van Ham,4/19/2008 0:00
Gertrude Stein Tag Cloud,The two-word view is pretty interesting as well.,Martin Wattenberg,10/19/2007 0:00
GetCivic.Org Fall Focus School Sociogram,This sociogram represents the social network of the GetCivic.Org Focus School...,Devin Vodicka,2/10/2009 0:00
Gettysburg Address,cool... cool.... cool... cool.... you would have thought that endure would...,,9/19/2008 0:00
gfgdg,"It should be noted that the unlabled set of ""21 students""...",WoodyE,1/29/2007 0:00
ghfhfgh,this is a terrible graphical representation of data. Keep trying.,,10/23/2007 0:00
GHG Emissions 2008-2012 Target,Tuttle's books on visualization have an example in which the statistics...,,4/12/2007 0:00
GHG Emissions 2008-2012 Target,"That's why we use area to represent the statistic: that is,...",Martin Wattenberg,4/19/2007 0:00
GHG Emissions 2008-2012 Target,test,,4/24/2007 0:00
GHG emissions in 1990 (tCO2 Equivalent),"Why is this graphic missing China, India, and other Asian countries?...",,4/12/2007 0:00
Gigapan Comment Cloud,Cool,,6/30/2009 0:00
Gini index for 126 Nations,"""The overall level of inequality in a country, region or population...",macloo,11/2/2008 0:00
"Given some ingredients, which pancake recipe can I make?",data types: - ingredients (nominal) - quantity ...,Arjan H.,2/4/2010 0:00
Glen Abbey Neighbourhood Profile,I created this visualization as a test.,yellowbag,11/12/2009 0:00
Global Atmospheric Releases of Mercury (sources),"There are significant uncertainties in the available release inventories, not only...",cgreen,9/6/2007 0:00
Global City Data,cool,,3/9/2007 0:00
Global Copper Mine Production (kMT Cu),does this mean that production will reduce over time?,,9/7/2008 0:00
Global Data Interests,Interesting to see the strong interest in Market Basket Analysis -...,The Data Man,2/9/2007 0:00
Global Hunger Index 2007,test,mulugeta,9/17/2008 0:00
Global IPv6 Allocations,"Hello, I was wondering why you don´t show any information...",,5/20/2009 0:00
Global oil production (Yearly Averages),very good.,unicorn7,8/3/2008 0:00
Global Peace Index Ranks Worldwide,Europe used to be probably the most violent continent starting two...,adaniel,6/9/2007 0:00
Global Temperature Anomaly and CO2 Density for 1872-2005,I'm inferring we can see more temp anomalies with rising C02...,fusion_prog_guy,5/22/2008 0:00
global warming,noob,,12/3/2008 0:00
Go To the Red Departments!,Hi Jiang! It looks like there's a problem with certain data...,Martin Wattenberg,9/13/2007 0:00
Go To the Red Departments!,Hey I was thinking about the pay for dentists:) but did...,Jiang,9/14/2007 0:00
Go To the Red Departments!,An updated data set and visualization is available here: ...,Martin Wattenberg,9/14/2007 0:00
Go to the red depts,This one may be right. But the dentists are still...,Jiang,9/14/2007 0:00
Go to the red depts,"Thanks for the update! This view is very interesting, and I...",Martin Wattenberg,9/14/2007 0:00
Go to the red depts,"Hi Lada, Yep, a blank column is OK....",Martin Wattenberg,9/14/2007 0:00
go west,"as the color of ""Very"" cover",tanykim,2/8/2009 0:00
GO_bhlh_A,nice,,7/15/2009 0:00
Gold Rate shoots in March 2008,this one,spy,2/12/2009 0:00
Gold Rate shoots in March 2008,Gold Rates shoot in March 2008,spy,2/12/2009 0:00
gonzales,What doesn't he recall?,,6/13/2008 0:00
gonzales testimony,this is cool!,,10/18/2007 0:00
gonzales testimony,This IS so cool!,,10/19/2007 0:00
gonzales testimony,Very interesting...I wonder what would happen if you applied Many Eyes...,,10/19/2007 0:00
goodbye,Good luck Joel!,,7/2/2008 0:00
Google 10K - View of Risk Factors Section - Adjusted,"The two-word view shows many mentions of ""intellectual property."" Would be...",,2/22/2008 0:00
google earth wordle,good earth googgle is good for you,larry malu,11/3/2008 0:00
google earth wordle,good earth googgle is good for you,larry malu,11/3/2008 0:00
google earth wordle,you is stupidister than cody biggs,,11/3/2009 0:00
google earth wordle,cody likes danielle,,11/3/2009 0:00
Google Search Terms Used in 2009 to Discover this Database,This is really neat!,Irene Ros,12/3/2009 0:00
Gov. Blagojevich's statement,"That's really cool, JP. -- Lee Ann",,12/19/2008 0:00
Gov. Schwarzenegger Speech 06/02-09,we like this one,,6/2/2009 0:00
Gov. Schwarzenegger Speech 06/02-09,but this one's nice too,,6/2/2009 0:00
Government Economomic Figures from the past 20 years,Sources: http://data.bls.gov/PDQ/servlet/SurveyOutputServlet http://www.whitehouse.gov/omb/budget/fy2009/pdf/hist.pdf http://data.bls.gov/PDQ/servlet/SurveyOutputServlet http://inflationdata.com/inflation/Inflation_Rate/HistoricalInflation.aspx?dsInflation_currentPage=0 http://www.data360.org/dsg.aspx?Data_Set_Group_Id=353 ...,ybotoby,10/29/2008 0:00
Government Employees by Department,Just seven organizations employ more half of the Canadian Public Service....,JGarlough,7/18/2007 0:00
Government Spending on Research and Development (in millions of dollars),"I don't believe that these data have been corrected for inflation,...",iamcurious,2/13/2008 0:00
GPRS Buble size,"Hi, how do you get the different colours in your bubbles...",mama bear,7/3/2007 0:00
GPRS Size,Prettiest snapshot yet!,Frank van Ham,7/3/2007 0:00
Graduate debt bar graph,"Although two visuzlizations of this data set already exist, I believe...",Anonymous,2/5/2007 0:00
Graduate debt bar graph,It would certainly be interesting to see the typical starting salaries...,Martin Wattenberg,2/5/2007 0:00
Graduate debt bar graph,"Thank God ! Where i live in Europe, we can study...",viirreei,2/6/2007 0:00
"Graduate Students Enrolled in the Biological and Social Sciences, 1997-2004",Points of note: 1) There is still a...,pknut777,1/31/2007 0:00
"Graduate Students Enrolled in the Biological Sciences, 1997-2004",Points of note: 1) The total number of...,pknut777,1/31/2007 0:00
"Graduate Students Enrolled in the Social Sciences, 1997-2004",If you want to see annual changes you could've created a...,Frank van Ham,2/1/2007 0:00
"Graduate Students Enrolled in the Social Sciences, 1997-2004",Why Political science is so popular?,viirreei,2/1/2007 0:00
graph,ראה,yuval shafriri,1/31/2008 0:00
graph of defined terms in Part 1 FOI bill 2008 Qld,This plot comes from the fifth version of the relevant information:...,j_desmond_f,4/22/2009 0:00
Graph showing the relative time taken to complete the 3n+1 algorithm with sequential input from 1 to 1000,Here's the algorithm we're talking about (in C): ...,pineconesolutions,3/11/2009 0:00
Graph showing the relative time taken to complete the 3n+1 algorithm with sequential input from 1 to 1000,I've just noticed something interesting about the x-values of the spikes....,pineconesolutions,3/11/2009 0:00
Graph showing the relative time taken to complete the 3n+1 algorithm with sequential input from 1 to 1000,I've just noticed something else interesting about powers of 2.,pineconesolutions,3/11/2009 0:00
Gratis kranten veroveren Europa,Dan moet je naar de pagina van dag.nl om via een...,Hans den Hartog,5/9/2007 0:00
Gravity's Rainbow Character Relationship Analysis Presentation :: CRAP,Wow. My graph I drew by hand while trudging through...,,3/6/2007 0:00
Greek Mythology: A Partial Family Tree,This network map is a perfect example of a problem i...,michaeljpastor,4/29/2007 0:00
Greek Mythology: A Partial Family Tree,The size of the dots seems to mostly indicate who had...,haakonc,7/20/2007 0:00
Greek Scylla has lots of hitpoints but trains unusually fast,"Although the cost information is not incorporated in this visualization, this...",Mike Lam,2/1/2008 0:00
Green Eggs and Ham,A word tree of Green eggs and ham!,53fe59de-ad2f-11dd-84b8-000255111976,8/31/2008 0:00
Greenland Is Online,It is interesting to see that the boldness of the colors...,Ferhan Ture,9/16/2009 0:00
Greenland Is Online,Do you mean Iceland?,,9/22/2009 0:00
Greenland Is Online,"Please click on ""Align Map Scales"" on menu before looking at...",Ferhan Ture,10/12/2009 0:00
Griffin Speeches (500 count wordle),Update,,6/3/2009 0:00
GROCERIES: Purchase Amount vs. Occupation,Groceries: Purchase Amount vs Occupation,jasraj,3/2/2008 0:00
group 1 - bar chart,"This visualization is pretty much useless, because there is too much...",,10/25/2007 0:00
group 1 - bar chart,"The gender distribution was more useful, but gave limited information.",,10/25/2007 0:00
Growth of Glenn School enrollees 2006-09,It is fantastic to see that the Glenn School is growing!...,,11/30/2009 0:00
growth of medical faculty,woof. this is an issue,adamsben,7/13/2009 0:00
"Guantanamo Bay Detainees, release status & age","In this view, orange means released, white means not released. Gray...",Martin Wattenberg,2/24/2007 0:00
"Guantanamo Bay Detainees, release status & age",I'd be curious to hear ideas on why various countries have...,Martin Wattenberg,2/24/2007 0:00
"Guantanamo Bay Detainees, release status & age",This is great. Just theorizing: My understanding is...,gorski,2/24/2007 0:00
guest comments,interesting how you can get to the core values of the...,ManyEyesTester,11/30/2009 0:00
Guide You to Decide Where to Go: World Tourism Expenditures (US $),Worldwide tour information is useful for people who plan to travel....,"Hwang, JY",2/12/2009 0:00
"Gun licenses, Big Word ""wordle"" view",Big gun town names fall right out of the data!,,2/4/2010 0:00
"Gun licenses, Big Word ""wordle"" view",I like this; very creative use of the data. Hope you...,Matt Carroll,2/9/2010 0:00
H.R.3200 Title I Standards,"There are 75 occurrences of the word ""standards"" in the ""Protections...",,8/13/2009 0:00
H1N1 Swine Flu Spread World Aug 10 2009,Percentage of deaths versus cases ratio is highest in Argentina,jovirox,8/10/2009 0:00
H1N1 Swine Flu Spread World Aug 10 2009,Maximum deaths so far :),Sapana,8/18/2009 0:00
hamlet timeline: acts and scenes where characters first appear in play,"Cool stuff. Not sure what it means, but that's research for...",AlanFinegold,6/9/2008 0:00
hamlet word counts,the data come from www.msaccessvb.com.,richard lewis,6/27/2008 0:00
Hand to Hand Combat Lethality by US State,Where are the stats on the District of Columbia?,,2/17/2008 0:00
Haplogroup Most Common gene sequence occurences,All the groups,Suzanne,9/28/2007 0:00
Haplogroup Most Common gene sequence occurences,My haplogroup J,Suzanne,9/28/2007 0:00
Happiness and gross income,The map is commented here on Central Blogacitv.,adaniel,4/18/2008 0:00
Happiness and gross income,Interesting dataset!,Irene Ros,11/11/2008 0:00
Happy Birthday!,to you!,conej,9/7/2008 0:00
"Harold Pinter: Art, Truth & Politics",Another case where the 2-word view is dramatic...,Martin Wattenberg,7/9/2007 0:00
Harry Potter is Freaking Popular,"Lots of Tolkien, a few by Austen, another few by Dan...",Alison,2/19/2007 0:00
Harry Potter is Freaking Popular,I have read 40 of these. I guess I have normal...,Martin Wattenberg,2/19/2007 0:00
Harry Potter is Freaking Popular,Compare this with a visualization of Project Gutenberg downloads.,Martin Wattenberg,2/19/2007 0:00
Harry Potter is Freaking Popular,"I've read 23 of them - a bit depressing, I thought...",joannascott,2/20/2007 0:00
